days online,duration,tags in title,title length,description length,tag count,comment count/days online,times viewed/days online,title emoji count,description emoji count,VADER sentiment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,December,June,October,January,February,March,April,May,July,August,September,November,times liked
993,475.0,2,55,1655,24,0.012084592145015106,1.7401812688821752,0,40,0.8922,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,83
1007,378.0,6,28,1463,18,0.009930486593843098,1.9493545183714003,0,33,0.8101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,60
1014,377.0,2,21,1322,17,0.05719921104536489,5.2465483234714005,0,30,-0.8205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,480
1021,27.0,0,37,1483,22,0.019588638589618023,1.7766895200783546,0,34,0.9056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,167
1028,54.0,3,25,1295,14,0.019455252918287938,1.0544747081712063,0,31,0.6544,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,97
1033,623.0,4,19,1475,19,0.03388189738625363,4.108422071636012,0,36,0.7222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,298
1041,44.0,2,37,1244,12,0.06532180595581172,14.263208453410183,1,32,0.6072,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,537
1049,347.0,2,33,1205,24,0.0,3.7483317445185893,0,30,0.4871,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,202
1055,44.0,4,25,1206,15,0.055924170616113746,1.9677725118483411,0,31,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,176
1062,33.0,2,31,1106,7,0.3606403013182674,33.433145009416194,0,36,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2033
1069,338.0,3,49,1200,16,0.06361085126286249,24.997193638914872,1,30,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,627
