days online,duration,tags in title,title length,description length,tag count,comment count/days online,times viewed/days online,title emoji count,description emoji count,VADER sentiment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,December,June,October,January,February,March,April,May,July,August,September,November
0.582432504609277,-0.5408090636377485,-0.7910024328057023,-0.264869832378779,1.0432806304689508,1.5386444198977254,0.455576108186749,0.8162005937836075,-0.7512497854339835,0.9053183080035269,0.9937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5832051683902076,0.5000256504761618,0.0711570516729194,-0.264869832378779,0.46819039735177764,0.3827085105329367,-0.46713616896243465,-0.9582831740738329,-0.7512497854339835,0.6492593649830363,0.5972,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5878292972147663,0.5126623302235173,-2.264873806467655,0.35681583586533305,0.8584301983955737,1.345988435003594,0.1424972512697799,0.34449622629971366,-0.7512497854339835,1.3150126168363117,0.9842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5939634217588796,0.4223136230298303,-2.264873806467655,-0.8865555006228909,0.5689289926086974,0.9606764652153311,-0.45836900335884606,-0.7428370370758566,0.4594758215812203,0.34198863335844776,-0.9709,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5993016594009885,0.08312578374322789,-2.264873806467655,-0.5411745738206065,0.5092682711458615,0.3827085105329367,-0.5664842462993731,-1.0092180073337738,1.6702014285964242,0.5980475763789382,0.9824,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6046130040442081,-0.3257493836661291,-0.7910024328057023,-0.5411745738206065,0.7635598708235231,-0.5805714139377206,-0.4733320592095031,-0.6272975665911154,-0.7512497854339835,0.03471790173385915,0.9651,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6091443850107466,-0.06655543188252394,-0.7910024328057023,-2.060850651750658,0.7938792538620134,-0.0026034592553262027,-0.22539941613163064,-1.215301092118239,-0.7512497854339835,0.08592969033795725,0.9691,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6129057150148058,0.3182969508891316,0.6828689408562503,-0.5411745738206065,0.478948888107371,0.9606764652153311,-0.5920833837399305,-1.2084783451882493,0.4594758215812203,0.03471790173385915,0.942,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6144064977335544,2.0683517810550565,0.0711570516729194,0.4258920212257899,1.01491733665875,1.731300404791857,0.4270011382922005,1.3051902095208407,-0.7512497854339835,0.7004711535871344,0.9918,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6151560887227502,0.4314092685768316,0.0711570516729194,-0.7484031299019772,0.2549766714681998,0.7680204803211996,-0.5353976518656196,-0.7949671131916044,-0.7512497854339835,-0.17012925268253323,0.9665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
