,C1,C2
130,-5.3185267,7.7752614
131,-5.4496756,7.377306
132,-5.0503364,7.4983354
133,-3.7545147,7.363943
134,-1.5699694,-5.8834634
135,-2.44451,7.1699977
136,-5.4135427,7.4758334
137,-5.407084,7.811037
138,-5.2154455,7.6972113
139,-5.438925,7.667601
140,-5.0443172,7.4941125
141,-5.4403906,7.77679
142,-5.1851106,7.5414157
143,9.822604,3.914566
144,-3.31627,7.7192793
145,-5.5012536,7.908972
146,-4.9656944,7.50177
147,-5.1303725,7.652029
148,-5.2467537,7.7802906
149,-0.42092142,-6.1066675
150,-5.282148,7.729048
151,9.921422,11.529208
152,-5.237298,7.77184
153,-2.3132665,7.1982284
154,-5.436708,7.775617
155,1.3126535,-4.5374136
156,-5.3612494,7.7734795
157,-5.221486,7.535728
158,0.77489024,1.0955575
159,-5.2562327,7.7959146
160,-5.389151,7.4888153
161,-4.012893,6.5471992
162,-5.206542,7.777143
163,-5.0673018,1.7722547
164,-5.3682985,7.8576827
165,-5.272543,7.8123913
166,0.30494395,4.553838
167,-5.3384137,7.8382244
168,-5.2914987,7.522089
169,-0.1107541,-5.677642
170,-3.4271016,7.434145
171,12.7749,4.9879155
172,-5.4838176,7.8502564
173,-9.20204,1.9207221
174,-5.045611,7.5822725
175,-5.4101706,7.8973765
176,-5.400061,7.8810396
177,-5.20366,7.562605
178,-5.480794,7.9580827
179,-5.4926357,7.856854
180,-5.481944,7.8519487
181,-2.8422549,7.9974174
182,-5.468649,7.3884916
183,-5.4130125,7.838805
184,-5.440368,7.5114512
185,-5.2245283,7.4974265
186,-4.9880285,7.4941936
187,-5.2111306,7.7618804
188,0.77154595,-4.0327063
189,-5.502232,7.927711
190,-3.3300471,8.175663
191,-5.1822753,7.693588
192,-5.384345,7.821375
193,-5.4114475,7.811589
194,-5.3320403,7.763933
195,-5.382623,7.8190947
196,-5.4663076,7.912508
197,-5.083546,7.452963
198,-6.237615,-0.17707631
199,-1.0445136,-5.258463
200,-5.1010814,-1.3009099
201,-5.388557,7.86841
202,-5.1321497,7.601455
203,-4.077633,-5.5243773
204,-5.5081573,7.8616896
205,5.046565,1.9863931
206,0.10301632,-6.0804796
207,-5.3625765,7.5502462
208,-5.1321807,7.511563
209,-4.9716306,7.474304
210,-5.2874155,7.8081007
211,-2.8516526,7.98163
212,-5.1800165,7.696373
213,-5.133329,7.606461
214,1.864992,-7.26274
215,-5.4563375,7.4794474
216,-5.417426,7.4916034
217,-5.17829,7.7584987
218,-5.1674743,7.601375
219,-5.1978927,7.6392155
220,6.6336513,10.542332
221,-5.258004,7.697102
222,-5.1763134,7.5565333
223,6.5160613,10.64681
224,-5.368625,7.8171625
225,-4.8837748,7.4345675
226,-5.3071637,7.7401404
227,-2.8778725,7.9510827
228,-5.5476904,7.744873
229,-5.2221413,7.514959
230,-5.233908,7.514668
231,0.7532135,-6.513452
232,-5.3089643,7.7653117
233,2.0167038,1.739053
234,1.4605384,-4.429431
235,-3.7060084,7.0760403
236,-5.511667,7.857759
237,12.276347,-0.08319046
238,-3.629905,1.2816164
239,-5.2709546,7.749588
240,-3.5101626,7.1840787
241,-5.113641,7.598203
242,-4.964149,7.53193
243,-5.2666326,7.6899023
244,-5.2083335,7.6846313
245,-5.3910093,7.4105625
246,-5.281636,7.496516
247,-5.495312,7.9333158
248,-5.157195,7.5211987
249,-2.652503,-6.7397766
250,-5.521277,7.9527216
251,-2.8568335,-7.0880494
252,-5.47973,7.9017615
253,-5.2103167,7.638075
254,-5.414647,7.8190527
255,-5.238678,7.5062957
256,-5.21217,7.6596932
257,-5.48937,7.847008
258,-5.189133,7.513486
259,-5.5022483,7.83206
260,-5.614819,-1.1236532
261,-5.351733,7.462091
